ID_DESASTRES,FECHA,DEPTO,MUNICIPIO,TIPO_EVENTO,DIVIPOLA,FALLECIDOS,HERIDOS,DESAPA,AFECTADOS,FAMILIAS,VIV_DESTRU,VIV_AVERI,COD_DANE_MP,COD_DEP,COD_MUN,COD_DEP_MUN,ID_DESASTRES
3961EDFN,2014-07-20,BOLÍVAR,CÓRDOBA,VENDAVAL,13212,0,0,0,3250,650,0,303,13.212,13,212,13212,3961EDFN
2434YYRR,2014-07-20,BOLÍVAR,MAGANGUÉ,VENDAVAL,13430,0,0,0,0,0,0,0,13.43,13,430,13430,2434YYRR
5927LRQQ,2014-07-20,BOLÍVAR,SAN JACINTO DEL CAUCA,VENDAVAL,13655,0,0,0,40,8,0,8,13.655,13,655,13655,5927LRQQ
5148LMJK,2014-07-20,BOLÍVAR,ZAMBRANO,VENDAVAL,13894,0,0,0,4285,857,0,857,13.894,13,894,13894,5148LMJK
0378NPWU,2014-07-20,CASANARE,SAN LUIS DE PALENQUE,INUNDACION,85325,0,0,0,565,113,0,113,85.325,85,325,85325,0378NPWU
0403QMRM,2014-07-20,CESAR,CHIRIGUANÁ,VENDAVAL,20178,0,0,0,724,134,0,134,20.178,20,178,20178,0403QMRM
6913ZVJV,2014-07-20,CÓRDOBA,MOÑITOS,VENDAVAL,23500,0,0,0,0,0,0,0,23.5,23,500,23500,6913ZVJV
7115XJJR,2014-07-20,CÓRDOBA,PUERTO ESCONDIDO,VENDAVAL,23574,0,0,0,0,0,0,0,23.574,23,574,23574,7115XJJR
1088GJNN,2014-07-20,CÓRDOBA,SAN ANTERO,VENDAVAL,23672,0,0,0,0,0,0,0,23.672,23,672,23672,1088GJNN
4925UYLY,2014-07-20,CÓRDOBA,SAN BERNARDO DEL VIENTO,VENDAVAL,23675,0,0,0,0,0,0,0,23.675,23,675,23675,4925UYLY
1547XDIX,2014-07-20,NORTE DE SANTANDER,GRAMALOTE,MOVIMIENTO EN MASA,54313,0,0,0,0,0,0,0,54.313,54,313,54313,1547XDIX
3261KGPA,2014-07-20,RISARALDA,MISTRATÓ,VENDAVAL,66456,0,0,0,5,1,1,0,66.456,66,456,66456,3261KGPA
3478XOGI,2014-07-21,ATLÁNTICO,SABANALARGA,VENDAVAL,8638,0,0,0,500,100,0,100,8.638,8,638,8638,3478XOGI
3685SSLX,2014-07-21,CHOCÓ,MEDIO ATRATO,VENDAVAL,27425,0,0,0,1240,310,0,310,27.425,27,425,27425,3685SSLX
6451HFQN,2014-07-21,SUCRE,MAJAGUAL,VENDAVAL,70429,0,1,0,795,159,0,139,70.429,70,429,70429,6451HFQN
7899OQDH,2014-07-21,SUCRE,SAMPUÉS,VENDAVAL,70670,0,2,0,45,9,0,9,70.67,70,670,70670,7899OQDH
2451HCDA,2014-07-21,SUCRE,SANTIAGO DE TOLÚ,VENDAVAL,70820,0,0,0,530,160,0,160,70.82,70,820,70820,2451HCDA
5788CDZP,2014-07-21,SUCRE,SINCELEJO,VENDAVAL,70001,0,0,0,0,0,0,0,70.001,70,001,70001,5788CDZP
7765ZHNG,2014-07-21,SUCRE,SUCRE,VENDAVAL,70771,0,0,0,420,84,0,84,70.771,70,771,70771,7765ZHNG
5033VSOE,2014-07-22,CHOCÓ,CARMEN DEL DARIEN,VENDAVAL,27150,0,0,0,580,116,9,107,27.15,27,150,27150,5033VSOE
6028MKNR,2014-07-24,ANTIOQUIA,CHIGORODÓ,VENDAVAL,5172,0,0,0,75,15,0,15,5.172,5,172,5172,6028MKNR
8914JYBP,2014-07-24,ANTIOQUIA,EL BAGRE,VENDAVAL,5250,0,2,0,595,113,0,113,5.25,5,250,5250,8914JYBP
8471WNOW,2014-07-24,CALDAS,MANIZALES,MOVIMIENTO EN MASA,17001,0,0,0,2,0,0,0,17.001,17,001,17001,8471WNOW
6552MAVH,2014-07-24,CESAR,SAN ALBERTO,VENDAVAL,20710,0,0,0,400,80,0,80,20.71,20,710,20710,6552MAVH
7372BQZJ,2014-07-24,CHOCÓ,ATRATO,INUNDACION,27050,0,0,0,909,202,12,140,27.05,27,050,27050,7372BQZJ
7816UXCR,2014-07-24,NARIÑO,LOS ANDES,VENDAVAL,52418,0,0,0,0,0,0,0,52.418,52,418,52418,7816UXCR
2535VUKS,2014-07-26,ANTIOQUIA,SAN ROQUE,VENDAVAL,5670,0,1,0,390,78,1,77,5.67,5,670,5670,2535VUKS
1359VSEZ,2014-07-26,BOLÍVAR,MAGANGUÉ,VENDAVAL,13430,0,2,0,50,10,0,10,13.43,13,430,13430,1359VSEZ
4590VTNA,2014-07-26,BOLÍVAR,MAHATES,VENDAVAL,13433,0,0,0,150,30,0,30,13.433,13,433,13433,4590VTNA
7291XNHV,2014-07-26,SUCRE,CAIMITO,VENDAVAL,70124,0,0,0,1550,310,0,274,70.124,70,124,70124,7291XNHV
2664DWYI,2014-07-26,SUCRE,SAN BENITO ABAD,VENDAVAL,70678,0,0,0,1305,261,0,261,70.678,70,678,70678,2664DWYI
7165ELFV,2014-07-27,CHOCÓ,BAJO BAUDÓ,VENDAVAL,27077,0,0,0,623,135,0,47,27.077,27,077,27077,7165ELFV
8706ZCUM,2014-07-28,CHOCÓ,RIOSUCIO,VENDAVAL,27615,0,0,0,5380,1076,552,524,27.615,27,615,27615,8706ZCUM
6048TCGA,2014-07-28,QUINDÍO,ARMENIA,VENDAVAL,63001,0,0,0,45,9,0,9,63.001,63,001,63001,6048TCGA
3139YOEG,2014-07-29,ANTIOQUIA,MURINDÓ,VENDAVAL,5475,0,0,0,0,0,0,0,5.475,5,475,5475,3139YOEG
3793TJVQ,2014-07-29,GUAVIARE,SAN JOSÉ DEL GUAVIARE,VENDAVAL,95001,0,0,0,0,0,0,0,95.001,95,001,95001,3793TJVQ
4216GXWV,2014-07-31,BOLÍVAR,REGIDOR,VENDAVAL,13580,0,0,0,49,8,0,8,13.58,13,580,13580,4216GXWV
9127UFQK,2014-08-02,CÓRDOBA,CHIMÁ,VENDAVAL,23168,0,0,0,235,47,0,47,23.168,23,168,23168,9127UFQK
8127TRPC,2014-08-02,CÓRDOBA,MONTERÍA,INUNDACION,23001,0,0,0,250,50,0,50,23.001,23,001,23001,8127TRPC
3304AAQI,2014-08-03,ANTIOQUIA,CARACOLÍ,VENDAVAL,5142,0,0,0,210,42,0,42,5.142,5,142,5142,3304AAQI
5736XHMW,2014-08-03,ANTIOQUIA,GÓMEZ PLATA,VENDAVAL,5310,0,0,0,10,2,0,2,5.31,5,310,5310,5736XHMW
8972NGKT,2014-08-04,ANTIOQUIA,SAN FRANCISCO,TORMENTA ELECTRICA,5652,3,0,0,3,0,0,0,5.652,5,652,5652,8972NGKT
8615RFQA,2014-08-04,ARAUCA,SARAVENA,CRECIENTE SUBITA,81736,1,0,1,2,0,0,0,81.736,81,736,81736,8615RFQA
0085NGGJ,2014-08-04,BOGOTÁ D.C.,BOGOTÁ D.C.,VENDAVAL,11001,0,1,0,1,0,0,0,11.001,11,001,11001,0085NGGJ
5279NRGS,2014-08-04,CÓRDOBA,LA APARTADA,INUNDACION,23350,0,0,0,2205,441,0,441,23.35,23,350,23350,5279NRGS
3468DOCM,2014-08-04,CÓRDOBA,MONTELÍBANO,INUNDACION,23466,0,0,0,5565,1113,0,113,23.466,23,466,23466,3468DOCM
3630NRDB,2014-08-04,CUNDINAMARCA,GUAYABETAL,MOVIMIENTO EN MASA,25335,0,0,0,0,0,0,0,25.335,25,335,25335,3630NRDB
